suborder,endemism,richness,year,prop,labNe,labN
Amphisbaenia,non-endemic,7,2002,NA,NA,NA
Amphisbaenia,non-endemic,12,2010,NA,NA,NA
Amphisbaenia,non-endemic,20,2026,NA,NA,NA
Amphisbaenia,endemic,8,2002,0.533333333,Ne=8,N=15
Amphisbaenia,endemic,18,2010,0.6,Ne=18,N=30
Amphisbaenia,endemic,23,2026,0.534883721,Ne=23,N=43
Sauria,non-endemic,35,2002,NA,NA,NA
Sauria,non-endemic,41,2010,NA,NA,NA
Sauria,non-endemic,81,2026,NA,NA,NA
Sauria,endemic,12,2002,0.255319149,Ne=12,N=47
Sauria,endemic,33,2010,0.445945946,Ne=33,N=74
Sauria,endemic,44,2026,0.352,Ne=44,N=125
Serpentes,non-endemic,96,2002,NA,NA,NA
Serpentes,non-endemic,110,2010,NA,NA,NA
Serpentes,non-endemic,185,2026,NA,NA,NA
Serpentes,endemic,11,2002,0.102803738,Ne=11,N=107
Serpentes,endemic,48,2010,0.303797468,Ne=48,N=158
Serpentes,endemic,60,2026,0.244897959,Ne=60,N=245